Rank,Name,Symbol,Price (USD),1h %,24h %,7d %,Market Cap,Volume (24h)
1,Bitcoin,BTC,70571.31218703832,0.41283829,-0.90912216,-3.86795514,1411488417066.8032,47233958095.26525
2,Ethereum,ETH,2066.3483888364785,0.74378952,-0.69641076,-3.74937565,249391723324.5275,19863496162.505177
3,Tether USDt,USDT,1.0002700391709438,0.01964517,0.00915991,-0.01407598,183939790321.1837,86447484308.1507
4,BNB,BNB,648.4021663594332,0.37275309,-0.14939621,-1.78860231,88414979837.96494,1587656929.4646878
5,XRP,XRP,1.3871237707503328,0.26742257,-2.79092813,-4.40132743,84930581828.46208,2483286971.5251975
6,USDC,USDC,1.00010671546441,0.01495086,0.02126715,0.00315299,78796239479.12582,12263432194.891954
7,Solana,SOL,86.4100507994405,1.10269247,-2.27388446,-5.8046807,49350007826.26801,3969494675.8593082
8,TRON,TRX,0.29079474449387327,0.18877511,2.23765613,1.6610178,27551660016.47512,478469822.1173644
9,Dogecoin,DOGE,0.09298077021077766,0.59938221,-6.76102075,-6.66551486,14260178659.24736,1639968677.4636385
10,Cardano,ADA,0.2636274715171987,0.44882672,-3.0992797,-5.97015414,9513655343.543438,586247893.4114857
11,Hyperliquid,HYPE,36.42548351048349,0.30291508,6.33902464,11.26082436,9376998759.19239,344688790.36307895
12,Bitcoin Cash,BCH,456.80366058756846,0.37887198,1.21230424,-2.68974618,9138774063.394592,281079641.4600402
13,UNUS SED LEO,LEO,9.154566860091608,-0.19047803,-0.48327339,0.77875392,8432762072.225554,1664017.11774866
14,Monero,XMR,350.50495059584296,-0.74147292,-0.22380452,-2.41661809,6465675120.209724,88668192.18558016
15,Chainlink,LINK,9.0599717131142,0.78766217,-0.983986,-4.43783886,6415365702.357436,672929534.9926773
16,Ethena USDe,USDe,0.9997067197805493,0.00117926,-0.00407504,0.00851885,5921215189.452056,91354467.35333695
17,Canton,CC,0.14799210751837621,0.29134186,-0.34867266,-5.23197178,5625173549.102101,211142682.03316182
18,Dai,DAI,1.0000469855298284,5.564e-05,-0.00579921,0.01298801,5365634798.013889,214815214.98698404
19,Stellar,XLM,0.16018489344704312,0.29378649,-3.52809834,0.37090237,5286624877.713086,134204224.94138539
20,World Liberty Financial USD,USD1,0.9994900190940776,-0.00848831,-0.0095575,0.0039027,4598800639.165406,1320420977.47521
21,Litecoin,LTC,54.85571266973552,0.45475046,0.1527968,-3.41098956,4220556471.2850704,290423570.64013314
22,Avalanche,AVAX,9.636247973205077,0.34777982,-2.10422435,0.43947111,4160661685.7806892,314916771.77429426
23,PayPal USD,PYUSD,0.999932561333467,0.00335889,-0.01038577,0.01444361,4094014842.4200993,118545281.3594493
24,Hedera,HBAR,0.09404064776374607,0.04438426,-4.55349506,-8.46311752,4072281814.354784,99308477.26199938
25,Sui,SUI,0.9774027334719786,0.38421988,-2.07003306,1.03821689,3811855694.956117,542182510.9903972
26,Zcash,ZEC,210.90202908104447,-0.28585901,-6.58810118,-11.28724677,3495545600.3228455,304294858.0804201
